CD_UNID;NOME_UNID;CD_USO_CTB;DESCR_USO_CTB;CD_DEPO;DESCR_DEPO;CD_LOCAL_FISIC;DESCR_LOCAL_FISIC;CD_ITEM;CD_EMBALAGEM;DESCR_ITEM;CD_OPERACAO;DESCR_OPERACAO;CD_UNID_MEDIDA;QTDE_MOVTO_ESTOQ;VLR_MOVTO_ESTOQ;VLR_MOVTO_ESTOQ_REAV;CD_UNID_BAIXA;CD_CENTRO_ATIV;CD_USU_CRIOU;CD_USU_ATEND;OBS RM;OBS ITEM
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;31684;UN;MOTOR TRIF.0,5CV 6P 220/380V P/VENT.REF.1594595228,WEG;159;CONSUMO NA MANUTENCAO;UN;-1;-505,88;-505,88;92;2488;DANILO-SANTOS;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;40589;UN;PARAFUSO SEXTAVADO INOX M8X25MM ROSCA TOTAL;159;CONSUMO NA MANUTENCAO;UN;-10;-6,78;-6,78;92;5525;DIEGO-ALVES;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;41472;MT;"MANG.SUCCAO/DESCARGA LEVE PVC TRANSP.C/ESPIRAL AZUL 2""";159;CONSUMO NA MANUTENCAO;M;-10;-205,99;-205,99;92;2291;WILLIAM-GARCIA;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;51175;UN;"CAPA CABO 60"" 0.250 COD.183772,BETTCHER";159;CONSUMO NA MANUTENCAO;UN;-1;-2307,74;-2307,74;92;2224;DAVID-CONRADO;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;60276;UN;CADEADO E-25 PADO;159;CONSUMO NA MANUTENCAO;UN;-20;-294,7;-294,7;92;2178;TIAGO-TABOR;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;61675;UN;PORCA INOX M8 PARLOCK;159;CONSUMO NA MANUTENCAO;UN;-10;-3,55;-3,55;92;5525;DIEGO-ALVES;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;62197;UN;ROLAMENTO 6405 NSK;159;CONSUMO NA MANUTENCAO;UN;-2;-198,93;-198,93;92;2330;RHUAN-GIMENES;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;69688;UN;PARAF.ALLEN INOX C.CILINDRICA M6X40MM;159;CONSUMO NA MANUTENCAO;UN;-1;-0,66;-0,66;92;2437;CLEITON-DESTRI;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;73180;UN;"CABO DE ACO FLEXIVEL 60"" 0.250 COD.183838,BETTCHER";159;CONSUMO NA MANUTENCAO;UN;-1;-1270,14;-1270,14;92;2224;DAVID-CONRADO;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;75267;UN;ROLAMENTO 6026 SKF;159;CONSUMO NA MANUTENCAO;UN;-1;-1374,72;-1374,72;92;1228;ERIC-SILVA;PAULO-BRANDT;;
