CD_UNID;NOME_UNID;CD_USO_CTB;DESCR_USO_CTB;CD_DEPO;DESCR_DEPO;CD_LOCAL_FISIC;DESCR_LOCAL_FISIC;CD_ITEM;CD_EMBALAGEM;DESCR_ITEM;CD_OPERACAO;DESCR_OPERACAO;CD_UNID_MEDIDA;QTDE_MOVTO_ESTOQ;VLR_MOVTO_ESTOQ;VLR_MOVTO_ESTOQ_REAV;CD_UNID_BAIXA;CD_CENTRO_ATIV;CD_USU_CRIOU;CD_USU_ATEND;OBS RM;OBS ITEM
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);501;ALMOX. CENTRAL;80250;UN;LAMPADA HALOGENA 24W 250V;159;CONSUMO NA MANUTENCAO;UN;-1;-395,16;-395,16;92;5525;JOSE-ADENILSON;ADEMIR-TEIXEIRA;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;24587;UN;ROLAMENTO 6307 DDU C3 / 2RS C3 NSK/SK;159;CONSUMO NA MANUTENCAO;UN;-1;-33,04;-33,04;92;1228;ANDRE-LUIZ;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;25787;UN;BLOCO CONTATO LED AZUL 24V 18MA COD.ZALVB6,SCHNEIDER;159;CONSUMO NA MANUTENCAO;UN;-1;-66,5;-66,5;92;2224;ALIMA;FELIPE-CANALLI;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;31684;UN;MOTOR TRIF.0,5CV 6P 220/380V P/VENT.REF.1594595228,WEG;159;CONSUMO NA MANUTENCAO;UN;-1;-505,88;-505,88;92;2488;DANILO-SANTOS;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;32683;UN;ROLAMENTO 6000 INOX, FRM/SKF;159;CONSUMO NA MANUTENCAO;UN;-4;-127,96;-127,96;92;4057;OZIAS-CARNEIRO;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;38723;MT;"BARRA ROSCADA INOX 304 1/4""";159;CONSUMO NA MANUTENCAO;M;-1;-10,39;-10,39;92;2488;JOSE-ADENILSON;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;39935;UN;ACOPLAMENTO 3P+T+N 32A 380/440V IP67 COD.S5256W,STECK;159;CONSUMO NA MANUTENCAO;UN;-1;-342,91;-342,91;92;4057;DIEGO-ALVES;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;40386;MT;"MANG.PVC TRANCADA TRANSP.(TRANSLUCIDA) 250PSI 1""";159;CONSUMO NA MANUTENCAO;M;-1;-12,35;-12,35;92;2488;JOSE-ADENILSON;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;40440;UN;PARAFUSO INOX ALLEN C.C M6X20;159;CONSUMO NA MANUTENCAO;UN;-4;-1,51;-1,51;92;4669;JOSE-ADENILSON;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;40779;UN;ROLAMENTO GYE-35 KRRB FRM (UC 207);159;CONSUMO NA MANUTENCAO;UN;-1;-56,33;-56,33;92;2330;MARIOSNEI-MILEK;MATHEUS-MAINARDES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;40911;UN;ROLAMENTO 6300 ZZ;159;CONSUMO NA MANUTENCAO;UN;-1;-15,53;-15,53;92;4588;THALES-BOIKO;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;41392;UN;"SELO MECANICO ( MOLA ALTA ) MOD.TSP 1.3/8"",SELOBRAS";159;CONSUMO NA MANUTENCAO;UN;-1;-32,68;-32,68;92;1228;THALES-BOIKO;FRANCIELE-ALVES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;41813;UN;RETENTOR 01783 BRG SABO (50X65X8.5MM);159;CONSUMO NA MANUTENCAO;UN;-2;-24,18;-24,18;92;2488;JOSE-ADENILSON;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;49819;UN;ARRUELA LISA INOX M6;159;CONSUMO NA MANUTENCAO;UN;-10;-0,64;-0,64;92;2291;JOSE-ADENILSON;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;50918;UN;ROLAMENTO INOX 6003 DDU NSK / SKF;159;CONSUMO NA MANUTENCAO;UN;-6;-286,43;-286,43;92;4057;OZIAS-CARNEIRO;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;51350;UN;ARRUELA LISA INOX M16;159;CONSUMO NA MANUTENCAO;UN;-2;-1,52;-1,52;92;2291;JOSE-ADENILSON;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;51384;UN;PARAFUSO SEXTAVADO INOX M12X80MM ROSCA TOTAL;159;CONSUMO NA MANUTENCAO;UN;-2;-10,59;-10,59;92;2291;JOSE-ADENILSON;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;59475;UN;ARRUELA LISA INOX M4;159;CONSUMO NA MANUTENCAO;UN;-10;-0,8;-0,8;92;2488;JOSE-ADENILSON;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;59554;UN;PARAFUSO SEXTAVADO INOX M6X20MM;159;CONSUMO NA MANUTENCAO;UN;-2;-0,62;-0,62;92;2291;JOSE-ADENILSON;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;60058;UN;RETENTOR BR (25X47X7) SABO / SAV;159;CONSUMO NA MANUTENCAO;UN;-2;-11,06;-11,06;92;2488;JOSE-ADENILSON;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;61237;UN;PORCA SEXTAVADA INOX M12 PASSO 1,75MM;159;CONSUMO NA MANUTENCAO;UN;-5;-6,79;-6,79;92;2488;JOSE-ADENILSON;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;61280;UN;MANCAL P-207;159;CONSUMO NA MANUTENCAO;UN;-1;-27,46;-27,46;92;2330;MARIOSNEI-MILEK;MATHEUS-MAINARDES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;61675;UN;PORCA INOX M8 PARLOCK;159;CONSUMO NA MANUTENCAO;UN;-2;-0,58;-0,58;92;2291;JOSE-ADENILSON;ANTONIO-RABE;;
