CD_UNID;NOME_UNID;CD_USO_CTB;DESCR_USO_CTB;CD_DEPO;DESCR_DEPO;CD_LOCAL_FISIC;DESCR_LOCAL_FISIC;CD_ITEM;CD_EMBALAGEM;DESCR_ITEM;CD_OPERACAO;DESCR_OPERACAO;CD_UNID_MEDIDA;QTDE_MOVTO_ESTOQ;VLR_MOVTO_ESTOQ;VLR_MOVTO_ESTOQ_REAV;CD_UNID_BAIXA;CD_CENTRO_ATIV;CD_USU_CRIOU;CD_USU_ATEND;OBS RM;OBS ITEM
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;40020;UN;PARAFUSO INOX SEXTAVADO M10X40;159;CONSUMO NA MANUTENCAO;UN;-20;-40,16;-40,16;92;2488;JOSE-ADENILSON;JOSE-BUENO;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;40892;UN;ROLAMENTO 6208 DDU NSK / SKF;159;CONSUMO NA MANUTENCAO;UN;-4;-177,11;-177,11;92;2488;DANILO-SANTOS;JOSE-BUENO;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;41729;UN;PORCA INOX SEXTAVADA M10 PARLOCK;159;CONSUMO NA MANUTENCAO;UN;-6;-4,44;-4,44;92;2488;IGOR-PIRONI;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;41729;UN;PORCA INOX SEXTAVADA M10 PARLOCK;159;CONSUMO NA MANUTENCAO;UN;-20;-14,82;-14,82;92;2488;JOSE-ADENILSON;JOSE-BUENO;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;44911;UN;ROTULA ARTICULACAO ESFERICA SGS M20X1,5 COD.9264,FESTO;133;DEVOLUCAO AO ESTOQUE DE CONSUMO;UN;1;529,15;529,15;92;2291;EMANUEL-SOUZA;FRANCIELE-ALVES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;44911;UN;ROTULA ARTICULACAO ESFERICA SGS M20X1,5 COD.9264,FESTO;159;CONSUMO NA MANUTENCAO;UN;-1;-529,15;-529,15;92;2291;EMANUEL-SOUZA;FRANCIELE-ALVES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;47986;UN;CONEXAO PNEUM.RAPIDA PU UNIAO REDUTORA 10X8MM 153039,FESTO;159;CONSUMO NA MANUTENCAO;UN;-1;-41,5;-41,5;92;2721;JOSE-LUZ;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;51390;UN;PARAFUSO SEXTAVADO INOX M8X20MM;159;CONSUMO NA MANUTENCAO;UN;-6;-4,66;-4,66;92;2488;IGOR-PIRONI;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;63713;MT;"CANTONEIRA INOX 304 3/4""X3/16""";159;CONSUMO NA MANUTENCAO;M;-18;-546,85;-546,85;92;4138;IGOR-PIRONI;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;75421;UN;STORK,PARAF.CAB.HEX,COD.00251706;159;CONSUMO NA MANUTENCAO;UN;-1;-0,97;-0,97;92;2224;JOSE-ADENILSON;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;76034;UN;"CONEXAO PNEUM.RAP PU RETA QS 1/4""X8MM COD.FS130678,FESTO";159;CONSUMO NA MANUTENCAO;UN;-3;-60,55;-60,55;92;2488;LEONARDO-PINTO;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;77622;UN;STORK,PORCA SEGURANCA M 6 COD.000163349;159;CONSUMO NA MANUTENCAO;UN;-1;-0,58;-0,58;92;2224;JOSE-ADENILSON;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;85871;UN;BOBINA SOLENOIDE 4,5W 24VDC 42VAC MSFG-24/42-50/60,FESTO;159;CONSUMO NA MANUTENCAO;UN;-1;-231,61;-231,61;92;2488;LEONARDO-PINTO;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;90174;UN;CAPA MANG HIGIENIZACAO INOX DU-3270 9299,COD310955,MANNES;159;CONSUMO NA MANUTENCAO;UN;-1;-43,02;-43,02;92;2437;EMANUEL-SOUZA;FRANCIELE-ALVES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;97284;UN;ULMA,ROLO PERFURADOR COD.4631728;159;CONSUMO NA MANUTENCAO;UN;-24;-7267,17;-7267,17;92;2224;JOSE-ADENILSON;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;107023;UN;ARRUELA COD.350206,MAREL;159;CONSUMO NA MANUTENCAO;UN;-4;-0,41;-0,41;92;2224;JOSE-ADENILSON;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;110676;MT;MANG.PU AZUL 8X1,25MM MANTOVA;159;CONSUMO NA MANUTENCAO;M;-10;-28,09;-28,09;92;2488;LEONARDO-PINTO;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;116491;UN;"VALV.GLOBO ANGULAR ON-OFF RET.P/MOLA 1"" MOD.H-3600,GBR";159;CONSUMO NA MANUTENCAO;UN;-1;-873,91;-873,91;92;2488;DANILO-SANTOS;JOSE-BUENO;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;145484;UN;PARAF.SEXT.INOX M12X45MM ROSCA TOTAL;159;CONSUMO NA MANUTENCAO;UN;-6;-20,01;-20,01;92;2488;IGOR-PIRONI;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;159196;MT;USINOX,PERFIL DE SILICONE TIPO T 10X8X4 COD.10021062596;159;CONSUMO NA MANUTENCAO;M;-4;-229,84;-229,84;92;4057;WILLIAM-GARCIA;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;163626;UN;ISOLADOR TVE FIXO 35X30X20MM COD.30130557638,USINOX;159;CONSUMO NA MANUTENCAO;UN;-2;-237,25;-237,25;92;4057;OZIAS-CARNEIRO;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;167120;UN;EMENDA P/CORRENTE 8X25,4MM 5/16 COD.SQ84167048,MAREL;159;CONSUMO NA MANUTENCAO;UN;-7;-1596,45;-1596,45;92;2224;IGOR-PIRONI;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;169929;UN;TERMINAL ENGATE ESPIGAO ALUMINIO 31X7/8 COD.292306,MANNES;159;CONSUMO NA MANUTENCAO;UN;-1;-43,99;-43,99;92;2437;EMANUEL-SOUZA;FRANCIELE-ALVES;;
