CD_UNID;NOME_UNID;CD_USO_CTB;DESCR_USO_CTB;CD_DEPO;DESCR_DEPO;CD_LOCAL_FISIC;DESCR_LOCAL_FISIC;CD_ITEM;CD_EMBALAGEM;DESCR_ITEM;CD_OPERACAO;DESCR_OPERACAO;CD_UNID_MEDIDA;QTDE_MOVTO_ESTOQ;VLR_MOVTO_ESTOQ;VLR_MOVTO_ESTOQ_REAV;CD_UNID_BAIXA;CD_CENTRO_ATIV;CD_USU_CRIOU;CD_USU_ATEND;OBS RM;OBS ITEM
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;25278;UN;BRINMIX 1000,JUNTA DE SILICONE REF.5011002,METALQUIMIA;159;CONSUMO NA MANUTENCAO;UN;-2;-66,76;-66,76;92;2291;RONI-PETERSON;ADEMIR-TEIXEIRA;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;45664;UN;PLACA FONTE 12V NCP1075AAP100 - 2096H COD.6217452,TOLEDO;159;CONSUMO NA MANUTENCAO;UN;-3;-2033,27;-2033,27;92;4057;LEONARDO-PINTO;ADEMIR-TEIXEIRA;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;63149;UN;BUCHA FIXACAO ROLAMENTO H-3036;159;CONSUMO NA MANUTENCAO;UN;-1;-641,85;-641,85;92;2330;ERIC-SILVA;ADEMIR-TEIXEIRA;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;92562;UN;CELULA DE CARGA ALBATROZ 100KG COD.6090082,TOLEDO;159;CONSUMO NA MANUTENCAO;UN;-3;-9140,17;-9140,17;92;4057;LEONARDO-PINTO;ADEMIR-TEIXEIRA;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;119936;UN;TRANSMISSOR TEMP.4-20MA C/USB TX BLOCK COD.8806000410,NOVUS;159;CONSUMO NA MANUTENCAO;UN;-1;-272,03;-272,03;92;4588;LEONARDO-PINTO;ADEMIR-TEIXEIRA;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;132337;UN;ROLAMENTO 23036 CCK/W33;159;CONSUMO NA MANUTENCAO;UN;-1;-3309,05;-3309,05;92;2330;MARIOSNEI-MILEK;ADEMIR-TEIXEIRA;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;177788;UN;BORRACHA PORTA ESTUFA COD.500252616,VEMAG;159;CONSUMO NA MANUTENCAO;UN;-30;-12176,09;-12176,09;92;4588;ERIC-SILVA;ADEMIR-TEIXEIRA;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;186048;UN;MEIA EMENDA CORR ROLO 1X 25,4MM ISO 16B;159;CONSUMO NA MANUTENCAO;UN;-1;-5,56;-5,56;92;4588;OZIAS-CARNEIRO;ADEMIR-TEIXEIRA;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;186103;UN;TERMINAL MANGUEIRA PRENSAVEL 4 TRAMAS ACO CARBONO FEMEA GIRA;159;CONSUMO NA MANUTENCAO;UN;-1;-23,18;-23,18;92;1244;JEAN-RICARDO;ADEMIR-TEIXEIRA;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;186118;UN;CAPA TERM MANG ACO CARB 3/8 43MM,COD.292279RE,MANNES;159;CONSUMO NA MANUTENCAO;UN;-3;-17,37;-17,37;92;1244;JEAN-RICARDO;ADEMIR-TEIXEIRA;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;186255;MT;CORRENTE ROLO TRANSMISSAO INOX 25,4MM ASA80/1 SIMPLES;159;CONSUMO NA MANUTENCAO;M;-5;-1262,52;-1262,52;92;4588;ERIC-SILVA;ADEMIR-TEIXEIRA;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;187733;UN;"ESCOVA ROTATIVO TUBULAR ACO 2.1/2""X1/2""";159;CONSUMO NA MANUTENCAO;UN;-1;-24,95;-24,95;92;4588;JULIO-WROBEL;ADEMIR-TEIXEIRA;;
