CD_UNID;NOME_UNID;CD_USO_CTB;DESCR_USO_CTB;CD_DEPO;DESCR_DEPO;CD_LOCAL_FISIC;DESCR_LOCAL_FISIC;CD_ITEM;CD_EMBALAGEM;DESCR_ITEM;CD_OPERACAO;DESCR_OPERACAO;CD_UNID_MEDIDA;QTDE_MOVTO_ESTOQ; VLR_MOVTO_ESTOQ ;VLR_MOVTO_ESTOQ_REAV;CD_UNID_BAIXA;CD_CENTRO_ATIV;CD_USU_CRIOU;CD_USU_ATEND;OBS RM;OBS ITEM
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;20904;UN;"CONEXAO PNEUM.RAPIDA PU CURVA TIPO ""L"" 1/2X12MM";159;CONSUMO NA MANUTENCAO;UN;-5;-R$ 40,01 ;-40,01;92;5345;EMANUEL-SOUZA;FRANCIELE-ALVES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;33697;UN;CONTATOR TRIP.18A 24VCC 1NA/1NF COD.LC1D18BD,SCHNEIDER;159;CONSUMO NA MANUTENCAO;UN;-1;-R$ 657,74 ;-657,74;92;2283;WILLIAM-GARCIA;MATHEUS-MAINARDES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;33697;UN;CONTATOR TRIP.18A 24VCC 1NA/1NF COD.LC1D18BD,SCHNEIDER;159;CONSUMO NA MANUTENCAO;UN;-1;-R$ 657,75 ;-657,75;92;5345;EMANUEL-SOUZA;FRANCIELE-ALVES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;38738;UN;MULTIPLICADOR BENJAMIN 3 TOMADAS TRIPOLAR 10A BRANCO;159;CONSUMO NA MANUTENCAO;UN;-2;-R$ 28,06 ;-28,06;92;2119;SOLIANE-CORDEIRO;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;39001;RL;FITA ISOLANTE PRETA 19MMX20MT;159;CONSUMO NA MANUTENCAO;RL;-5;-R$ 30,88 ;-30,88;92;4138;IGOR-PIRONI;JOSE-BUENO;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;39634;UN;BLOCO CONTATO COMANDO 1NA COD.ZBE101,SCHNEIDER;159;CONSUMO NA MANUTENCAO;UN;-5;-R$ 142,72 ;-142,72;92;2283;THALES-BOIKO;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;41471;UN;ROLAMENTO 1206 SEPRADOR EM ACO,SKF/NSK;159;CONSUMO NA MANUTENCAO;UN;-1;-R$ 70,49 ;-70,49;92;2232;IGOR-PIRONI;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;57076;UN;"CONEXAO RAP PU CURVA TIPO ""L"" 1/8X6 QSL COD.FS130729,FESTO";159;CONSUMO NA MANUTENCAO;UN;-9;-R$ 192,03 ;-192,03;92;2488;JOSE-ADENILSON;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;60648;UN;"ARRUELA LISA INOX 5/8""";159;CONSUMO NA MANUTENCAO;UN;-10;-R$ 7,46 ;-7,46;92;2488;JOSE-ADENILSON;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;63160;UN;ROLAMENTO 6003 DDU/ 2RS NSK/ SKF;159;CONSUMO NA MANUTENCAO;UN;-6;-R$ 62,52 ;-62,52;92;4057;OZIAS-CARNEIRO;PAULO-BRANDT;;
