CD_UNID;NOME_UNID;CD_USO_CTB;DESCR_USO_CTB;CD_DEPO;DESCR_DEPO;CD_LOCAL_FISIC;DESCR_LOCAL_FISIC;CD_ITEM;CD_EMBALAGEM;DESCR_ITEM;CD_OPERACAO;DESCR_OPERACAO;CD_UNID_MEDIDA;QTDE_MOVTO_ESTOQ;VLR_MOVTO_ESTOQ;VLR_MOVTO_ESTOQ_REAV;CD_UNID_BAIXA;CD_CENTRO_ATIV;CD_USU_CRIOU;CD_USU_ATEND;OBS RM;OBS ITEM
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;24965;UN;SENSOR FOTOELETRICO 10/30DC COD.06H301,IFM;133;DEVOLUCAO AO ESTOQUE DE CONSUMO;UN;2;2074,02;2074,02;92;2488;JOSE-ADENILSON;JOAOVF;;ORDEM ERRADA
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;31684;UN;MOTOR TRIF.0,5CV 6P 220/380V P/VENT.REF.1594595228,WEG;133;DEVOLUCAO AO ESTOQUE DE CONSUMO;UN;1;505,89;505,89;92;2488;JOSE-ADENILSON;JOAOVF;;ORDEM ERRADA
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;33922;UN;PLUG MACHO 2P+T 16A 6H 220/240V IP44 COD.N3076,STECK;159;CONSUMO NA MANUTENCAO;UN;-2;-54,26;-54,26;92;4472;LEONARDO-PINTO;MATHEUS-MAINARDES;,;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;39850;UN;BOBINA SOLENOIDE 10/12W 220V IP65 60HZ COD.018F4520,DANFOSS;133;DEVOLUCAO AO ESTOQUE DE CONSUMO;UN;1;342,33;342,33;92;2224;JOSE-ADENILSON;JOAOVF;;OREM ERRADA
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;44602;UN;SENSOR FOTOELE. DIFUSO 750MM IP67/IP6 COD.T182VPDLQ8,BANNER;133;DEVOLUCAO AO ESTOQUE DE CONSUMO;UN;1;1263,98;1263,98;92;2224;JOSE-ADENILSON;JOAOVF;;ORDEM ERRADA
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;45003;UN;BROCA ACO RAPIDO DIN338 4MM,LENOX;159;CONSUMO NA MANUTENCAO;UN;-2;-7,36;-7,36;92;2283;RONI-PETERSON;MATHEUS-MAINARDES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;45159;UN;BROCA ACO RAPIDO DIN338 2,5MM,LENOX;159;CONSUMO NA MANUTENCAO;UN;-2;-7,73;-7,73;92;2283;RONI-PETERSON;MATHEUS-MAINARDES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;47986;UN;CONEXAO PNEUM.RAPIDA PU UNIAO REDUTORA 10X8MM 153039,FESTO;133;DEVOLUCAO AO ESTOQUE DE CONSUMO;UN;10;414,98;414,98;92;5525;JOSE-ADENILSON;JOAOVF;;ORDEM ERRADA
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;48653;UN;SENSOR MAGNETICO PALITO PNP NA BMF235KPSC2APU05,BALLUFF;133;DEVOLUCAO AO ESTOQUE DE CONSUMO;UN;2;564,42;564,42;92;5345;JOSE-ADENILSON;JOAOVF;;ORDEM ERRADA
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;57994;UN;SPRAY INOX 400ML REF.0893114116,WURTH;133;DEVOLUCAO AO ESTOQUE DE CONSUMO;UN;1;249,31;249,31;92;2224;JOSE-ADENILSON;JOAOVF;;ORDEM ERRADA
