CD_UNID;NOME_UNID;CD_USO_CTB;DESCR_USO_CTB;CD_DEPO;DESCR_DEPO;CD_LOCAL_FISIC;DESCR_LOCAL_FISIC;CD_ITEM;CD_EMBALAGEM;DESCR_ITEM;CD_OPERACAO;DESCR_OPERACAO;CD_UNID_MEDIDA;QTDE_MOVTO_ESTOQ;VLR_MOVTO_ESTOQ;VLR_MOVTO_ESTOQ_REAV;CD_UNID_BAIXA;CD_CENTRO_ATIV;CD_USU_CRIOU;CD_USU_ATEND;OBS RM;OBS ITEM
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;33220;MT;"CABO ACO GALV.CLASSE 6/19 AF (ALMA FIBRA) 1/8""";159;CONSUMO NA MANUTENCAO;M;-100;-206,41;-206,41;92;2216;MARCOS-MATTOS;MATHEUS-MAINARDES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;45360;UN;BROCA ACO RAPIDO DIN338 13MM,LENOX;159;CONSUMO NA MANUTENCAO;UN;-2;-234,33;-234,33;92;1244;DANIEL-SANTOS;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;60791;UN;PORCA INOX SEXTAVADA M8;159;CONSUMO NA MANUTENCAO;UN;-200;-79,86;-79,86;92;2224;JOSE-ADENILSON;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;60793;UN;PORCA INOX M6 PARLOCK;159;CONSUMO NA MANUTENCAO;UN;-10;-1,65;-1,65;92;4600;THALES-BOIKO;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;61321;UN;MANCAL PLASTICO UCFH-R DF 30 COD.20526,SULMAQ;159;CONSUMO NA MANUTENCAO;UN;-2;-1037,27;-1037,27;92;4138;MARCOS-MATTOS;MATHEUS-MAINARDES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;61938;UN;PARAFUSO SEXTAVADO INOX M8X35MM ROSCA TOTAL;159;CONSUMO NA MANUTENCAO;UN;-64;-97,96;-97,96;92;2224;ALESSANDRO-CARNEIRO;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;62528;MT;BARRA ROSCADA INOX 304 M6;159;CONSUMO NA MANUTENCAO;M;-2;-26,25;-26,25;92;2224;THALES-BOIKO;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;63205;UN;ROLAMENTO 6203 ZZ C3 NSK;159;CONSUMO NA MANUTENCAO;UN;-1;-7,7;-7,7;92;4600;THALES-BOIKO;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;91225;MT;MANGUEIRA VACUOFLEX 1/2 PVC COD.100766RE,MANNES;159;CONSUMO NA MANUTENCAO;M;-3;-29,44;-29,44;92;2224;DAVID-CONRADO;MATHEUS-MAINARDES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;111703;UN;CONTATO AUXILIAR FRONTAL 1NA+1NF REF.3RV29011E,SIEMENS;159;CONSUMO NA MANUTENCAO;UN;-1;-62,45;-62,45;92;2224;BRUNO-BORSATO;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;112711;UN;BICO DIRECIONADOR 22MM P/HV 414 COD.856972,HANDTMANN;159;CONSUMO NA MANUTENCAO;UN;-1;-1219,72;-1219,72;92;4057;ERIC-SILVA;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;126142;UN;BOBINA SOLENOIDE 14W 24VCA 60HZ COD.018F7365,DANFOSS;159;CONSUMO NA MANUTENCAO;UN;-1;-154,47;-154,47;92;2224;IGOR-PIRONI;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;127859;UN;SENSOR INDUTIVO COD.NI10UM12AP6XH1141,TURCK;159;CONSUMO NA MANUTENCAO;UN;-1;-763,62;-763,62;92;2291;OZIAS-CARNEIRO;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;128931;MT;BARRA ROSCADA INOX 304 M10 PASSO 1,5MM;159;CONSUMO NA MANUTENCAO;M;-1;-21,7;-21,7;92;2224;ALESSANDRO-CARNEIRO;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;135625;UN;SENSOR INDUTIVO 4A20MA COD.XS4P18AB120,TELEMECANIQUE;159;CONSUMO NA MANUTENCAO;UN;-1;-688,41;-688,41;92;2291;OZIAS-CARNEIRO;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;143675;UN;RELE INTERFACE 1REV 24VCC REF.3RQ30181AB00,SIEMENS;159;CONSUMO NA MANUTENCAO;UN;-1;-76,34;-76,34;92;2224;BRUNO-BORSATO;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;148173;UN;FRIGOSTRELLA,PURGADOR COMPLETO COD.BPUR2040001;159;CONSUMO NA MANUTENCAO;UN;-2;-940,32;-940,32;92;1210;JEVERSON-MARTINI;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;159119;UN;B325,ANEL TOROIDAL COD.105980187,MULTIVAC;159;CONSUMO NA MANUTENCAO;UN;-6;-1214,52;-1214,52;92;5345;MARCOS-MATTOS;MATHEUS-MAINARDES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;160696;UN;"MYCOM,VALV.GLOBO ACO 1010 PA NPT 3/8""X6MM COD.107954347";159;CONSUMO NA MANUTENCAO;UN;-8;-1786,5;-1786,5;92;1210;JEVERSON-MARTINI;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;180353;UN;TERMINAL EMENDA 3/4 COMPACTO 6178 3/4 COD.311168,MANNES;159;CONSUMO NA MANUTENCAO;UN;-5;-294,9;-294,9;92;2437;THALES-BOIKO;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;180355;UN;TERMINAL MACHO FIXO COMPACTO 1/2X3/4 COD.311177,MANNES;159;CONSUMO NA MANUTENCAO;UN;-1;-46,47;-46,47;92;2224;IGOR-PIRONI;MATHEUS-MAINARDES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;180355;UN;TERMINAL MACHO FIXO COMPACTO 1/2X3/4 COD.311177,MANNES;159;CONSUMO NA MANUTENCAO;UN;-5;-232,33;-232,33;92;2470;THALES-BOIKO;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;185739;UN;SENSOR INDUTIVO FACEADO 8MM PNP COD.I1CFM1808PS4U2,BIDUK;159;CONSUMO NA MANUTENCAO;UN;-1;-202,92;-202,92;92;2291;OZIAS-CARNEIRO;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;185798;UN;MOLA PRESSAO COD.9652305,MAREL;159;CONSUMO NA MANUTENCAO;UN;-1;-35,69;-35,69;92;2291;OZIAS-CARNEIRO;JOAOVF;;
