CD_UNID;NOME_UNID;CD_USO_CTB;DESCR_USO_CTB;CD_DEPO;DESCR_DEPO;CD_LOCAL_FISIC;DESCR_LOCAL_FISIC;CD_ITEM;CD_EMBALAGEM;DESCR_ITEM;CD_OPERACAO;DESCR_OPERACAO;CD_UNID_MEDIDA;QTDE_MOVTO_ESTOQ;VLR_MOVTO_ESTOQ;VLR_MOVTO_ESTOQ_REAV;CD_UNID_BAIXA;CD_CENTRO_ATIV;CD_USU_CRIOU;CD_USU_ATEND;OBS RM;OBS ITEM
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;25257;UN;CX.P/BOTOEIRA 2 FURO TAMPA AMARELA REF.XALK02,SCHNEIDER;159;CONSUMO NA MANUTENCAO;UN;-1;-230,52;-230,52;92;2224;JEAN-RICARDO;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;25257;UN;CX.P/BOTOEIRA 2 FURO TAMPA AMARELA REF.XALK02,SCHNEIDER;159;CONSUMO NA MANUTENCAO;UN;-1;-230,52;-230,52;92;2488;JEAN-RICARDO;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;31995;UN;ACOPLAMENTO 2P+T 16A 220V REF.N3056,STECK;159;CONSUMO NA MANUTENCAO;UN;-1;-31,7;-31,7;92;2488;JEAN-RICARDO;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;59763;UN;SILICONE ALTA TEMPERATURA 300GR COPPER 5920 LOCTITE;159;CONSUMO NA MANUTENCAO;UN;-3;-1690,97;-1690,97;92;4588;CHRISTIANO-PIFFER;PAULO-BRANDT;102686;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;60735;KG;ELETRODO P/INOX OK 6130 3,25MM COD.E308L17,ESAB;159;CONSUMO NA MANUTENCAO;KG;-1;-80,8;-80,8;92;1236;WILLIAM-GARCIA;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;82913;UN;CX.P/BOTOEIRA 1FURO 22MM CIINZA COD.3SB78110AA100BA0,SIEMENS;159;CONSUMO NA MANUTENCAO;UN;-1;-27,6;-27,6;92;2488;JEAN-RICARDO;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;92827;UN;PALHETA COD.855523,HANDTMAN;159;CONSUMO NA MANUTENCAO;UN;-12;-7440,67;-7440,67;92;2283;WILLIAM-GARCIA;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;93380;UN;CHAVE SECCIONADORA 25A P1-25/I2/SVB COD.207293,EATON;159;CONSUMO NA MANUTENCAO;UN;-1;-309,54;-309,54;92;2488;JEAN-RICARDO;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;138152;UN;TOMADA SOBREPOR 3P+T+N 32A 380/440V IP44 REF.N5206,STECK;159;CONSUMO NA MANUTENCAO;UN;-1;-73,56;-73,56;92;2224;JEAN-RICARDO;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;185943;UN;COMUTADOR COMAN 2 POS PT 22,0MM 1NA COD.XB5AD21, SCHNEIDER;159;CONSUMO NA MANUTENCAO;UN;-1;-126,09;-126,09;92;2224;JEAN-RICARDO;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;186005;UN;BOTAO COMANDO COGUMELO 40MM 1NA+1NF 600V XB5AT845,SCHNEIDER;159;CONSUMO NA MANUTENCAO;UN;-1;-142,68;-142,68;92;2488;JEAN-RICARDO;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;204080;UN;GUARDA LATERAL AZUL 100MM SERIE1050 FECHADO POLIPROPILENO CO;159;CONSUMO NA MANUTENCAO;UN;-50;-146,89;-146,89;92;4057;OZIAS-CARNEIRO;PAULO-BRANDT;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;204183;UN;VARETA POLIACETAL 5,9X99X400MM COD.2089,IBRAFLEX;159;CONSUMO NA MANUTENCAO;UN;-50;-190,06;-190,06;92;4057;OZIAS-CARNEIRO;PAULO-BRANDT;;
