CD_UNID;NOME_UNID;CD_USO_CTB;DESCR_USO_CTB;CD_DEPO;DESCR_DEPO;CD_LOCAL_FISIC;DESCR_LOCAL_FISIC;CD_ITEM;CD_EMBALAGEM;DESCR_ITEM;CD_OPERACAO;DESCR_OPERACAO;CD_UNID_MEDIDA;QTDE_MOVTO_ESTOQ;VLR_MOVTO_ESTOQ;VLR_MOVTO_ESTOQ_REAV;CD_UNID_BAIXA;CD_CENTRO_ATIV;CD_USU_CRIOU;CD_USU_ATEND;OBS RM;OBS ITEM
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;25171;MT;FIBRA DE VIDRO PTFE VERMELHO ACOBREADO C/ADESIVO TOTAL 0,15X;159;CONSUMO NA MANUTENCAO;M;-30;-583,42;-583,42;92;5525;THALES-BOIKO;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;31995;UN;ACOPLAMENTO 2P+T 16A 220V REF.N3056,STECK;159;CONSUMO NA MANUTENCAO;UN;-1;-32,77;-32,77;92;2739;ROBSON-RIBEIRO;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;36767;UN;REGISTRO 3/2 VIAS HVFF10-10MM,PARKER;159;CONSUMO NA MANUTENCAO;UN;-1;-33,19;-33,19;92;2224;DAVID-CONRADO;MATHEUS-MAINARDES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;39129;UN;TERMINAL OLHAL PRE- ISOLADO 2,5MM FURO 5MM;159;CONSUMO NA MANUTENCAO;UN;-100;-27,45;-27,45;92;2224;ALIMA;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;39158;UN;TERMINAL OLHAL ISOLADO 2,5MM;159;CONSUMO NA MANUTENCAO;UN;-100;-28,48;-28,48;92;2224;ALIMA;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;41072;UN;RETENTOR 01422 BR 50X65X8MM SABO;159;CONSUMO NA MANUTENCAO;UN;-2;-31,51;-31,51;92;2330;JOSE-ADENILSON;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;44602;UN;SENSOR FOTOELE. DIFUSO 750MM IP67/IP6 COD.T182VPDLQ8,BANNER;159;CONSUMO NA MANUTENCAO;UN;-1;-1303,79;-1303,79;92;2224;JOSE-ADENILSON;MATHEUS-MAINARDES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;46646;UN;TRAVA ROSCA ALTA RESISTENCIA/TORQUE 50GR 271 LOCTITE;159;CONSUMO NA MANUTENCAO;UN;-1;-163,36;-163,36;92;2470;EMANUEL-SOUZA;FRANCIELE-ALVES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;51175;UN;"CAPA CABO 60"" 0.250 COD.183772,BETTCHER";159;CONSUMO NA MANUTENCAO;UN;-1;-2295,08;-2295,08;92;2224;JEAN-RICARDO;MATHEUS-MAINARDES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;51175;UN;"CAPA CABO 60"" 0.250 COD.183772,BETTCHER";159;CONSUMO NA MANUTENCAO;UN;-1;-2295,07;-2295,07;92;2224;JOSE-ADENILSON;MATHEUS-MAINARDES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;60705;UN;"PORCA INOX SEXTAVADA 1/4"" PARLOCK";159;CONSUMO NA MANUTENCAO;UN;-2;-1,71;-1,71;92;2224;ALIMA;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;62975;UN;PARAF.INOX C.CHATA M4X25MM;159;CONSUMO NA MANUTENCAO;UN;-20;-23,72;-23,72;92;2224;RHUAN-GIMENES;MATHEUS-MAINARDES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;76128;UN;"CONEXAO PNEUM.RAPIDA PU RETA 1/4""X10MM QS COD.FS130679,FESTO";159;CONSUMO NA MANUTENCAO;UN;-1;-26,86;-26,86;92;2224;DAVID-CONRADO;MATHEUS-MAINARDES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;85679;UN;"CONEXAO PNEUM.RAPIDA PU RETA 1/4""X8MM";159;CONSUMO NA MANUTENCAO;UN;-4;-12,11;-12,11;92;5525;OZIAS-CARNEIRO;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;92494;UN;RETENTOR DIN A140X170X15-NBR COD.8064644,SEW;159;CONSUMO NA MANUTENCAO;UN;-2;-173,39;-173,39;92;2330;JOSE-ADENILSON;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;98687;UN;TERMINAL OLHAL NR.5 12-10 AWG;159;CONSUMO NA MANUTENCAO;UN;-100;-56,91;-56,91;92;2224;ALIMA;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;104115;UN;DISCO PRE-CORTADOR 0291601015 MDC-160 COD.03010125,MONTEMIL;159;CONSUMO NA MANUTENCAO;UN;-2;-2279,84;-2279,84;92;4057;THALES-BOIKO;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;104570;UN;"REGISTRO A PROVA DE CHOQUE 1/2"" AZUL COD.526294,MANNES";159;CONSUMO NA MANUTENCAO;UN;-3;-563,87;-563,87;92;2437;EMANUEL-SOUZA;FRANCIELE-ALVES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;109155;UN;ABRACADEIRA NYLON 4,6X200MM PRETA REF.T-50R,HELLERMANN;159;CONSUMO NA MANUTENCAO;UN;-100;-14,31;-14,31;92;2232;JULIANO-CUNHA;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;116495;UN;ROLAMENTO 33210 J NSK/SKF;159;CONSUMO NA MANUTENCAO;UN;-2;-198,51;-198,51;92;2330;JOSE-ADENILSON;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;121143;UN;ROLAMENTO 32312 NSF/SKF;159;CONSUMO NA MANUTENCAO;UN;-2;-1049,9;-1049,9;92;2330;JOSE-ADENILSON;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;122793;UN;FITA FIBRA DE VIDRO 0,13 ADESIVA 30MM COD.10022141570,USINOX;159;CONSUMO NA MANUTENCAO;UN;-30;-777,26;-777,26;92;4057;CRISTIANE-CUSTODIO;JOSE-BUENO;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;122794;MT;FITA FIBRA DE VIDRO ADESIVA 0,13X12MM COD.10022143846,USINOX;159;CONSUMO NA MANUTENCAO;M;-30;-322,46;-322,46;92;4057;CRISTIANE-CUSTODIO;JOSE-BUENO;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;125827;UN;SENSOR INDUTIVO INOX M8 PNP COD.IE5369,IFM;159;CONSUMO NA MANUTENCAO;UN;-3;-1984,26;-1984,26;92;5345;EMANUEL-SOUZA;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;126138;UN;CHAVE FIM CURSO AL HASTE 1NA+1NF COD.186026,ACE SCHMERSAL;159;CONSUMO NA MANUTENCAO;UN;-1;-144,13;-144,13;92;2488;RHUAN-GIMENES;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;133470;UN;MANNES,BICO ASPERSOR INOX 3,5MM VAZAO 2,88LT/M 4BAR COD.1073;159;CONSUMO NA MANUTENCAO;UN;-10;-777,1;-777,1;92;2470;EMANUEL-SOUZA;FRANCIELE-ALVES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;133772;UN;ROLAMENTO 30226;159;CONSUMO NA MANUTENCAO;UN;-1;-1541,32;-1541,32;92;2330;JOSE-ADENILSON;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;165485;UN;"FESTO,REGULADOR PRESSAO PRECISAO 1/4"" LRP-1/4-2,5 COD.162834";159;CONSUMO NA MANUTENCAO;UN;-1;-2323,46;-2323,46;92;5525;OZIAS-CARNEIRO;JOAOVF;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;170423;UN;"PONTEIRA FLEXIVEL P/MANG.HIG.ROSCA 1/2"" COD.154810,MANNES";159;CONSUMO NA MANUTENCAO;UN;-3;-518,33;-518,33;92;2437;EMANUEL-SOUZA;FRANCIELE-ALVES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;185701;UN;SELO MECANICO VED SIMP AISI304 15M/S 1.1/8;159;CONSUMO NA MANUTENCAO;UN;-1;-22,97;-22,97;92;2496;MARCOS-MATTOS;FRANCIELE-ALVES;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;185965;UN;TERMOPAR 1100MM REF.86910051410,MULTIVAC;159;CONSUMO NA MANUTENCAO;UN;-1;-183,98;-183,98;92;5345;EMANUEL-SOUZA;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;185975;UN;ELEMENTO AQUECIMENTO COD.19188101031,MULTIVAC;159;CONSUMO NA MANUTENCAO;UN;-4;-2323,56;-2323,56;92;5345;EMANUEL-SOUZA;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;186005;UN;BOTAO COMANDO COGUMELO 40MM 1NA+1NF 600V XB5AT845,SCHNEIDER;159;CONSUMO NA MANUTENCAO;UN;-1;-140,49;-140,49;92;2739;ROBSON-RIBEIRO;ANTONIO-RABE;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;186469;UN;CILINDRO PNEUM D/AC MG 63/160MM COD.559331,FESTO;159;CONSUMO NA MANUTENCAO;UN;-1;-1041,94;-1041,94;92;2291;THALES-BOIKO;RODRIGO-WALTER;;
92;FRIG. AURORA CASTRO;242;MANUTEN플O DE M핽UINAS E EQUIPAMENTOS;1;MATERIAL (PROPRIO);505;ALMOX. MECANICO/ELETRICO;186615;UN;ROLAMENTO ROLO CONICO REF.32315J2,SKF;159;CONSUMO NA MANUTENCAO;UN;-1;-619,55;-619,55;92;2330;JOSE-ADENILSON;JOAOVF;;
